Class,Question,Answer
Animal,ฮิปโปโปเตมัส,ที่นี่มีฮิปโปโปเตมัสค่ะ
Animal,มีฮิปโปโปเตมัสไหม,ที่นี่มีฮิปโปโปเตมัสค่ะ
Animal,มีฮิปโปโปเตมัสไหมอ่ะ,ที่นี่มีฮิปโปโปเตมัสค่ะ
Animal,มีฮิปโปโปเตมัสไหมหรือเปล่า,ที่นี่มีฮิปโปโปเตมัสค่ะ
Animal,มีฮิปโปโปเตมัสป้ะ,ที่นี่มีฮิปโปโปเตมัสค่ะ
Animal,ฮิปโปโปเตมัสกินอะไร,กินหญ้าเป็นอาหารหลัก
Animal,ฮิปโปโปเตมัสกินไรอ่ะ,กินหญ้าเป็นอาหารหลัก
Animal,ฮิปโปโปเตมัสกินราย,กินหญ้าเป็นอาหารหลัก
Animal,ฮิปโปโปเตมัสกินไอไหร,กินหญ้าเป็นอาหารหลัก
Animal,ฮิปโปโปเตมัสกินไร,กินหญ้าเป็นอาหารหลัก
Animal,เนื้อทราย,ที่นี่มีเนื้อทรายค่ะ
Animal,มีเนื้อทรายไหม,ที่นี่มีเนื้อทรายค่ะ
Animal,มีเนื้อทรายไหมอ่ะ,ที่นี่มีเนื้อทรายค่ะ
Animal,มีเนื้อทรายไหมหรือเปล่า,ที่นี่มีเนื้อทรายค่ะ
Animal,มีเนื้อทรายป้ะ,ที่นี่มีเนื้อทรายค่ะ
Animal,เนื้อทรายกินอะไร,กินหญ้า ใบไม้ และผลไม้
Animal,เนื้อทรายกินไรอ่ะ,กินหญ้า ใบไม้ และผลไม้
Animal,เนื้อทรายกินราย,กินหญ้า ใบไม้ และผลไม้
Animal,เนื้อทรายกินไอไหร,กินหญ้า ใบไม้ และผลไม้
Animal,เนื้อทรายกินไร,กินหญ้า ใบไม้ และผลไม้
Animal,ชะนีมงกุฎ,ที่นี่มีชะนีมงกุฎค่ะ
Animal,มีชะนีมงกุฎไหม,ที่นี่มีชะนีมงกุฎค่ะ
Animal,มีชะนีมงกุฎไหมอ่ะ,ที่นี่มีชะนีมงกุฎค่ะ
Animal,มีชะนีมงกุฎไหมหรือเปล่า,ที่นี่มีชะนีมงกุฎค่ะ
Animal,มีชะนีมงกุฎป้ะ,ที่นี่มีชะนีมงกุฎค่ะ
Animal,ชะนีมงกุฎกินอะไร,กินผลไม้ ยอดไม้ ไข่นก และแมลงต่างๆ
Animal,ชะนีมงกุฎกินไรอ่ะ,กินผลไม้ ยอดไม้ ไข่นก และแมลงต่างๆ
Animal,ชะนีมงกุฎกินราย,กินผลไม้ ยอดไม้ ไข่นก และแมลงต่างๆ
Animal,ชะนีมงกุฎกินไอไหร,กินผลไม้ ยอดไม้ ไข่นก และแมลงต่างๆ
Animal,ชะนีมงกุฎกินไร,กินผลไม้ ยอดไม้ ไข่นก และแมลงต่างๆ
Animal,ไนอาลา,ที่นี่มีไนอาลาค่ะ
Animal,มีไนอาลาไหม,ที่นี่มีไนอาลาค่ะ
Animal,มีไนอาลาไหมอ่ะ,ที่นี่มีไนอาลาค่ะ
Animal,มีไนอาลาไหมหรือเปล่า,ที่นี่มีไนอาลาค่ะ
Animal,มีไนอาลาป้ะ,ที่นี่มีไนอาลาค่ะ
Animal,ไนอาลากินอะไร,กินใบไม้เป็นหลักร่วมทั้งหญ้าในช่วงที่มีฝนตก
Animal,ไนอาลากินไรอ่ะ,กินใบไม้เป็นหลักร่วมทั้งหญ้าในช่วงที่มีฝนตก
Animal,ไนอาลากินราย,กินใบไม้เป็นหลักร่วมทั้งหญ้าในช่วงที่มีฝนตก
Animal,ไนอาลากินไอไหร,กินใบไม้เป็นหลักร่วมทั้งหญ้าในช่วงที่มีฝนตก
Animal,ไนอาลากินไร,กินใบไม้เป็นหลักร่วมทั้งหญ้าในช่วงที่มีฝนตก
